,entry_strategies,exit_strategies,profit_mean,profit_min,profit_max
47,Buy Hold Entry,Buy Hold Exit,143.73267326732673,-174.0,2789.0
14,Bollinger Entry,MACD Exit,130.47524752475246,-581.0,1223.0
0,Bollinger Entry,Bollinger Exit,123.0,-696.0,675.0
20,Bollinger Entry,"MFI Exit, MACD Exit",121.70297029702971,-899.0,1882.0
659,MACD Entry,Bollinger Exit,112.83168316831683,-479.0,551.0
679,MACD Entry,"MFI Exit, MACD Exit",112.75247524752476,-703.0,1521.0
41,Bollinger Entry,RSI Exit,111.64356435643565,-899.0,719.0
676,MACD Entry,MFI Exit,105.43564356435644,-672.0,878.0
42,Bollinger Entry,"RSI Exit, Bollinger Exit",104.98019801980197,-899.0,785.0
17,Bollinger Entry,MFI Exit,103.78217821782178,-899.0,731.0
701,MACD Entry,"RSI Exit, Bollinger Exit",103.14851485148515,-672.0,694.0
700,MACD Entry,RSI Exit,102.62376237623762,-672.0,598.0
612,Keltner Entry,Bollinger Exit,100.24752475247524,-659.0,1316.0
653,Keltner Entry,RSI Exit,98.3069306930693,-701.0,1214.0
654,Keltner Entry,"RSI Exit, Bollinger Exit",95.20792079207921,-718.0,1128.0
672,MACD Entry,Keltner Exit,92.35643564356435,-582.0,826.0
682,MACD Entry,"MFI Exit, RSI Exit",86.61386138613861,-703.0,765.0
44,Bollinger Entry,TSI Exit,85.1980198019802,-590.0,1402.0
673,MACD Entry,MACD Exit,84.11881188118812,-599.0,1075.0
660,MACD Entry,Force Exit,83.03960396039604,-735.0,1393.0
629,Keltner Entry,MFI Exit,81.7128712871287,-903.0,2047.0
23,Bollinger Entry,"MFI Exit, RSI Exit",81.31683168316832,-899.0,904.0
4,Bollinger Entry,"Force Exit, MACD Exit",81.15841584158416,-889.0,1797.0
632,Keltner Entry,"MFI Exit, MACD Exit",79.58415841584159,-815.0,1963.0
703,MACD Entry,TSI Exit,78.75247524752476,-593.0,1074.0
13,Bollinger Entry,Keltner Exit,73.57425742574257,-547.0,1318.0
662,MACD Entry,"Force Exit, Keltner Exit",72.92079207920793,-703.0,814.0
800,MFI Entry,Bollinger Exit,69.68316831683168,-427.0,629.0
10,Bollinger Entry,"Force Exit, TSI Exit",68.24752475247524,-652.0,1225.0
773,"MACD Entry, Keltner Entry","MFI Exit, MACD Exit",68.03960396039604,-353.0,948.0
669,MACD Entry,"Force Exit, TSI Exit",67.93069306930693,-703.0,1048.0
3,Bollinger Entry,"Force Exit, Keltner Exit",65.6930693069307,-699.0,1287.0
841,MFI Entry,RSI Exit,63.84158415841584,-844.0,481.0
795,"MACD Entry, Keltner Entry","RSI Exit, Bollinger Exit",62.57425742574257,-350.0,495.0
754,"MACD Entry, Keltner Entry",Force Exit,61.76237623762376,-389.0,1160.0
626,Keltner Entry,MACD Exit,61.7029702970297,-748.0,1790.0
613,Keltner Entry,Force Exit,61.12871287128713,-815.0,1716.0
814,MFI Entry,MACD Exit,60.83168316831683,-654.0,567.0
635,Keltner Entry,"MFI Exit, RSI Exit",60.83168316831683,-815.0,1462.0
663,MACD Entry,"Force Exit, MACD Exit",59.81188118811881,-703.0,1548.0
766,"MACD Entry, Keltner Entry",Keltner Exit,58.34653465346535,-374.0,889.0
794,"MACD Entry, Keltner Entry",RSI Exit,57.43564356435643,-350.0,432.0
820,MFI Entry,"MFI Exit, MACD Exit",56.98019801980198,-1056.0,1222.0
842,MFI Entry,"RSI Exit, Bollinger Exit",54.801980198019805,-863.0,570.0
823,MFI Entry,"MFI Exit, RSI Exit",53.95049504950495,-1056.0,589.0
