Datetime,Open,High,Low,Close,Adj Close,Volume,Symbol
2022-04-21 04:00:00+00:00,3095.884033203125,3095.884033203125,3095.884033203125,3095.884033203125,3095.884033203125,0,ETH-USD
2022-04-21 04:01:00+00:00,3096.272216796875,3096.272216796875,3096.272216796875,3096.272216796875,3096.272216796875,0,ETH-USD
2022-04-21 04:02:00+00:00,3096.3623046875,3096.3623046875,3096.3623046875,3096.3623046875,3096.3623046875,0,ETH-USD
2022-04-21 04:03:00+00:00,3096.17138671875,3096.17138671875,3096.17138671875,3096.17138671875,3096.17138671875,535552,ETH-USD
2022-04-21 04:04:00+00:00,3096.326904296875,3096.326904296875,3096.326904296875,3096.326904296875,3096.326904296875,0,ETH-USD
2022-04-21 04:05:00+00:00,3096.00146484375,3096.00146484375,3096.00146484375,3096.00146484375,3096.00146484375,0,ETH-USD
2022-04-21 04:06:00+00:00,3095.752197265625,3095.752197265625,3095.752197265625,3095.752197265625,3095.752197265625,0,ETH-USD
2022-04-21 04:07:00+00:00,3094.71923828125,3094.71923828125,3094.71923828125,3094.71923828125,3094.71923828125,0,ETH-USD
2022-04-21 04:08:00+00:00,3094.364990234375,3094.364990234375,3094.364990234375,3094.364990234375,3094.364990234375,0,ETH-USD
2022-04-21 04:09:00+00:00,3094.5283203125,3094.5283203125,3094.5283203125,3094.5283203125,3094.5283203125,1629184,ETH-USD
2022-04-21 04:10:00+00:00,3096.00830078125,3096.00830078125,3096.00830078125,3096.00830078125,3096.00830078125,2764800,ETH-USD
2022-04-21 04:11:00+00:00,3096.93994140625,3096.93994140625,3096.93994140625,3096.93994140625,3096.93994140625,2556928,ETH-USD
2022-04-21 04:12:00+00:00,3097.2431640625,3097.2431640625,3097.2431640625,3097.2431640625,3097.2431640625,732160,ETH-USD
2022-04-21 04:13:00+00:00,3099.3310546875,3099.3310546875,3099.3310546875,3099.3310546875,3099.3310546875,97138688,ETH-USD
2022-04-21 04:14:00+00:00,3100.548828125,3100.548828125,3100.548828125,3100.548828125,3100.548828125,7013376,ETH-USD
2022-04-21 04:15:00+00:00,3101.165283203125,3101.165283203125,3101.165283203125,3101.165283203125,3101.165283203125,5579776,ETH-USD
2022-04-21 04:16:00+00:00,3101.814697265625,3101.814697265625,3101.814697265625,3101.814697265625,3101.814697265625,11637760,ETH-USD
2022-04-21 04:17:00+00:00,3101.132568359375,3101.132568359375,3101.132568359375,3101.132568359375,3101.132568359375,0,ETH-USD
2022-04-21 04:18:00+00:00,3100.563720703125,3100.563720703125,3100.563720703125,3100.563720703125,3100.563720703125,0,ETH-USD
2022-04-21 04:19:00+00:00,3099.193603515625,3099.193603515625,3099.193603515625,3099.193603515625,3099.193603515625,21699584,ETH-USD
2022-04-21 04:20:00+00:00,3098.793212890625,3098.793212890625,3098.793212890625,3098.793212890625,3098.793212890625,0,ETH-USD
2022-04-21 04:21:00+00:00,3098.329345703125,3098.329345703125,3098.329345703125,3098.329345703125,3098.329345703125,0,ETH-USD
2022-04-21 04:22:00+00:00,3097.1826171875,3097.1826171875,3097.1826171875,3097.1826171875,3097.1826171875,0,ETH-USD
2022-04-21 04:23:00+00:00,3096.947265625,3096.947265625,3096.947265625,3096.947265625,3096.947265625,0,ETH-USD
2022-04-21 04:24:00+00:00,3096.3818359375,3096.3818359375,3096.3818359375,3096.3818359375,3096.3818359375,0,ETH-USD
2022-04-21 04:25:00+00:00,3095.88623046875,3095.88623046875,3095.88623046875,3095.88623046875,3095.88623046875,9073664,ETH-USD
2022-04-21 04:26:00+00:00,3096.009765625,3096.009765625,3096.009765625,3096.009765625,3096.009765625,0,ETH-USD
2022-04-21 04:27:00+00:00,3095.931640625,3095.931640625,3095.931640625,3095.931640625,3095.931640625,0,ETH-USD
2022-04-21 04:28:00+00:00,3095.705078125,3095.705078125,3095.705078125,3095.705078125,3095.705078125,0,ETH-USD
2022-04-21 04:29:00+00:00,3095.361083984375,3095.361083984375,3095.361083984375,3095.361083984375,3095.361083984375,0,ETH-USD
2022-04-21 04:30:00+00:00,3095.58056640625,3095.58056640625,3095.58056640625,3095.58056640625,3095.58056640625,113664,ETH-USD
